Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0603_1608Metric",81.0000,-142.5000,0.0000,top
"C2","10uf","CP_Elec_6.3x5.8",102.5000,-145.5000,0.0000,top
"C5","100uF","CP_Elec_6.3x7.7",102.5000,-156.0000,0.0000,top
"C6","0.1uF","C_0603_1608Metric",123.5000,-144.0000,180.0000,top
"C7","0.1uF","C_0603_1608Metric",118.3250,-141.7000,180.0000,top
"C8","10uF","CP_Elec_6.3x5.8",111.5000,-127.8000,0.0000,top
"C9","2.7nf","C_0603_1608Metric",127.1000,-118.0000,0.0000,top
"C10","2.7nf","C_0603_1608Metric",123.2250,-118.0000,0.0000,top
"C11","68pf","C_0603_1608Metric",124.8000,-128.7250,270.0000,top
"C12","0.1uF","C_0603_1608Metric",122.8000,-128.7250,270.0000,top
"C15","10uf","CP_Elec_6.3x5.8",135.9000,-120.4000,180.0000,top
"C16","10uf","CP_Elec_6.3x5.8",135.9000,-130.4000,180.0000,top
"C19","0.1uF","C_0603_1608Metric",150.3640,-149.0260,0.0000,top
"R1","10K","R_0603_1608Metric",73.0000,-141.5000,0.0000,top
"R2","10K","R_0603_1608Metric",73.0000,-144.0000,0.0000,top
"R3","10K","R_0603_1608Metric",73.0000,-146.5000,0.0000,top
"R4","10K","R_0603_1608Metric",73.0000,-149.0000,0.0000,top
"R5","10K","R_0603_1608Metric",73.0000,-151.5000,0.0000,top
"R6","10K","R_0603_1608Metric",73.0000,-154.0000,0.0000,top
"R7","33","R_0603_1608Metric",126.7500,-128.7250,90.0000,top
"R8","100","R_0603_1608Metric",143.4000,-120.4000,0.0000,top
"R9","100","R_0603_1608Metric",143.4000,-130.4000,0.0000,top
"R10","10K","R_0603_1608Metric",143.4000,-124.4000,0.0000,top
"R11","10K","R_0603_1608Metric",143.4000,-134.4000,0.0000,top
"U1","74HCT688","SOIC-20W_7.5x12.8mm_P1.27mm",86.0000,-150.3500,0.0000,top
"U2","YMF262","SOP-24_7.5x15.4mm_P1.27mm",132.0000,-151.0000,270.0000,top
"U3","YAC512","SOP-16_4.55x10.3mm_P1.27mm",123.5950,-135.7500,0.0000,top
"U4","TL074","SOIC-14_3.9x8.7mm_P1.27mm",123.5000,-123.0370,0.0000,top
"Y1","14.3181MHz","Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm",144.5000,-146.5000,90.0000,top
